,agency_id,line_id,number_of_trips_today,agency_popularity
252,3,10451,18,81
253,3,10998,18,81
254,3,10870,18,81
255,3,12053,18,81
256,3,10032,18,81
257,3,40074,18,81
258,3,13015,18,81
259,3,16022,18,81
260,3,12412,18,81
261,3,13011,17,82
262,3,10953,17,82
263,3,10962,17,82
264,3,16016,17,82
265,3,30030,17,82
266,3,10397,16,83
267,3,37018,16,83
268,3,15004,16,83
269,3,16013,15,84
270,3,10010,15,84
271,3,10961,15,84
272,3,15015,15,84
273,3,10444,15,84
274,3,13110,15,84
275,3,10006,14,85
276,3,11056,14,85
277,3,13047,14,85
278,3,15056,14,85
279,3,11434,14,85
280,3,10007,13,86
281,3,11013,13,86
282,3,10150,13,86
283,3,10163,13,86
284,3,15048,13,86
285,3,13008,12,87
286,3,10431,12,87
287,3,10973,12,87
288,3,10079,12,87
289,3,10505,12,87
290,3,16001,11,88
291,3,10407,11,88
292,3,10996,11,88
293,3,10439,11,88
294,3,10968,11,88
295,3,13006,10,89
296,3,10950,10,89
297,3,10966,10,89
298,3,14967,10,89
299,3,56009,10,89
300,3,10141,9,90
301,3,10390,9,90
302,3,10930,9,90
303,3,12069,9,90
304,3,21029,9,90
305,3,35030,9,90
306,3,12912,9,90
307,3,10552,8,91
308,3,10486,8,91
309,3,10955,8,91
310,3,10942,8,91
311,3,10546,8,91
312,3,10215,8,91
313,3,26002,8,91
314,3,12408,8,91
315,3,12716,8,91
316,3,10543,8,91
317,3,12006,8,91
318,3,12007,8,91
319,3,10975,8,91
320,3,13413,8,91
321,3,18001,7,92
322,3,10550,7,92
323,3,10554,7,92
324,3,10389,7,92
325,3,11024,6,93
326,3,11035,6,93
327,3,17001,6,93
328,3,10999,6,93
329,3,10974,6,93
330,3,10549,6,93
331,3,22003,6,93
332,3,12989,6,93
333,3,10384,6,93
334,3,11030,6,93
335,3,11036,6,93
336,3,11020,5,94
337,3,10438,5,94
338,3,15049,5,94
339,3,10959,5,94
340,3,18012,4,95
341,3,10142,4,95
342,3,11791,4,95
343,3,11792,4,95
344,3,10436,4,95
345,3,10848,4,95
346,3,16012,4,95
347,3,14049,4,95
348,3,10392,4,95
349,3,25028,4,95
350,3,70004,4,95
351,3,19978,4,95
352,3,12503,4,95
353,3,10268,4,95
354,3,11988,4,95
355,3,10976,4,95
356,3,11032,4,95
357,3,15316,4,95
358,3,12034,3,96
359,3,10952,3,96
360,3,10840,3,96
361,3,10843,3,96
362,3,10424,3,96
363,3,10393,3,96
364,3,10991,3,96
365,3,12027,2,97
366,3,10066,2,97
367,3,10793,2,97
368,3,10790,2,97
369,3,15098,2,97
370,3,10951,2,97
371,3,10997,2,97
372,3,10487,2,97
373,3,10846,2,97
374,3,10993,2,97
375,3,30024,2,97
376,3,10963,2,97
377,3,10798,2,97
378,3,10421,2,97
379,3,12441,2,97
380,3,12011,2,97
381,3,15002,2,97
382,3,10318,2,97
383,3,11034,2,97
384,3,11435,1,98
385,3,11784,1,98
386,3,10958,1,98
387,3,14031,1,98
388,3,10260,1,98
389,3,10261,1,98
390,3,10944,1,98
391,4,26003,76,1
392,4,19008,72,2
393,4,19022,69,3
394,4,10134,63,4
395,4,21006,45,5
396,4,20007,45,5
397,4,11142,43,6
398,4,11133,41,7
399,4,17164,41,7
400,4,21015,40,8
401,4,11143,40,8
402,4,13025,38,9
403,4,13167,38,9
404,4,15166,37,10
405,4,14360,37,10
406,4,11174,36,11
407,4,11155,35,12
408,4,16048,34,13
409,4,11145,34,13
410,4,12154,33,14
411,4,11157,30,15
412,4,12137,30,15
413,4,10177,29,16
414,4,15380,29,16
415,4,11140,26,17
416,4,21021,25,18
417,4,10176,25,18
418,4,17010,22,19
419,4,11131,21,20
420,4,15381,20,21
421,4,11132,19,22
422,4,13168,19,22
423,4,13023,18,23
424,4,28028,18,23
425,4,12345,18,23
426,4,12374,17,24
427,4,12377,17,24
428,4,15148,17,24
429,4,14382,17,24
430,4,24011,16,25
431,4,13183,16,25
432,4,11216,15,26
433,4,14144,15,26
434,4,12363,15,26
435,4,16023,14,27
436,4,15149,14,27
437,4,13141,14,27
438,4,11461,14,27
439,4,11215,13,28
440,4,13362,13,28
441,4,16009,12,29
442,4,14250,12,29
443,4,12146,12,29
444,4,11182,12,29
445,4,14027,11,30
446,4,34030,11,30
447,4,28058,11,30
448,4,20479,11,30
449,4,28031,10,31
450,4,37052,10,31
451,4,38053,10,31
452,4,11364,10,31
453,4,14365,10,31
454,4,32050,10,31
455,4,26004,9,32
456,4,17016,9,32
457,4,11158,9,32
458,4,12138,9,32
459,4,34056,9,32
460,4,11253,9,32
461,4,11254,9,32
462,4,11462,9,32
463,4,13469,9,32
464,4,18020,8,33
465,4,18014,8,33
466,4,35032,8,33
467,4,42050,8,33
468,4,40051,8,33
469,4,10468,8,33
470,4,10949,8,33
471,4,13361,8,33
472,4,11156,7,34
473,4,11376,7,34
474,4,12257,7,34
475,4,11178,6,35
476,4,11410,6,35
477,4,12366,6,35
478,4,14059,5,36
479,4,24025,5,36
480,4,13946,5,36
481,4,42001,4,37
482,4,22012,4,37
